,sex,height,l,m,s,lorh,z=-3,z=-2,z=-1,z=0,z=1,z=2,z=3
264,1,91.4,-0.3521,13.2143,0.08025,H,10.48778477894308,11.304159318770838,12.208866314490981,13.2143,14.335015346657947,15.588182763652775,16.994155937275025
265,1,91.5,-0.3521,13.2376,0.08023999999999999,H,10.506567838286141,11.324305649985451,12.23051243611345,13.2376,14.360143660763576,15.615337476626724,17.023562721427247
266,1,91.6,-0.3521,13.2609,0.08023999999999999,H,10.52506084537444,11.344237988297882,12.25203982323509,13.2609,14.385419492281056,15.642822622212433,17.053526537482213
267,1,91.7,-0.3521,13.2842,0.08023999999999999,H,10.54355385246274,11.364170326610317,12.273567210356733,13.2842,14.410695323798535,15.670307767798146,17.083490353537183
268,1,91.8,-0.3521,13.3075,0.08025,H,10.561754761567775,11.383887162736045,12.294975025547227,13.3075,14.436119713163059,15.698125676525377,17.114015130221606
269,1,91.9,-0.3521,13.3308,0.08025,H,10.580247257223949,11.403819123727347,12.31650220331129,13.3308,14.461395804789339,15.725611404743528,17.143979928458254
270,1,92.0,-0.3521,13.3541,0.08025,H,10.598739752880123,11.42375108471865,12.338029381075351,13.3541,14.486671896415618,15.75309713296168,17.1739447266949
271,1,92.1,-0.3521,13.3773,0.08025,H,10.617152881602149,11.443597500812992,12.359464167518537,13.3773,14.511839506961953,15.780464896681039,17.203780920647265
272,1,92.2,-0.3521,13.4006,0.08026,H,10.635351246740246,11.463312457506886,12.38087093840296,13.4006,14.53726519783566,15.808285725674336,17.234310629060914
273,1,92.3,-0.3521,13.4239,0.08026,H,10.653843230983417,11.483244041186714,12.402397906812194,13.4239,14.562541549574355,15.835772036541625,17.264276409522765
274,1,92.4,-0.3521,13.4472,0.08027000000000001,H,10.672040072918938,11.502957871519735,12.423804051220909,13.4472,14.587968022874122,15.863594623120521,17.294809089736724
275,1,92.5,-0.3521,13.4705,0.08027000000000001,H,10.69053154576823,11.522889077897746,12.445330810278069,13.4705,14.613244634728854,15.891081516653651,17.32477585246732
276,1,92.6,-0.3521,13.4937,0.08027999999999999,H,10.70864750424659,11.542516241879008,12.466643939599459,13.4937,14.638563406043739,15.918787888901063,17.355182887769146
277,1,92.7,-0.3521,13.5171,0.08027999999999999,H,10.7272178260708,11.562532611003856,12.488262877932652,13.5171,14.663948762447202,15.946393337117657,17.38527924974353
278,1,92.8,-0.3521,13.5404,0.08029,H,10.745411621886438,11.582244188759454,12.509667769431166,13.5404,14.689376800653493,15.9742194391193,17.415817874215346
279,1,92.9,-0.3521,13.5637,0.0803,H,10.76360440612127,11.601955017571337,12.531072243839,13.5637,14.71480536121335,16.00204671624216,17.44635848874539
280,1,93.0,-0.3521,13.587,0.08031,H,10.781796178832135,11.621665097468295,12.55247630116439,13.587,14.740234444137664,16.02987516853669,17.476901093465703
281,1,93.1,-0.3521,13.6104,0.08032,H,10.800066291647392,11.641459962041413,12.573972326447056,13.6104,14.765772538332142,16.057822778058135,17.507574322305448
282,1,93.2,-0.3521,13.6338,0.08033,H,10.818335388663678,11.661254074519023,12.595467932866867,13.6338,14.791311157145818,16.08577156785446,17.538249550033314
283,1,93.3,-0.3521,13.6572,0.08034,H,10.836603469938064,11.68104743493004,12.616963120432086,13.6572,14.816850300589634,16.113721537976343,17.568926776781925
284,1,93.4,-0.3521,13.6806,0.08035,H,10.85487053552762,11.700840043303378,12.638457889150985,13.6806,14.84238996867453,16.14167268847447,17.599606002683927
285,1,93.5,-0.3521,13.7041,0.08036,H,10.873215928284099,11.720717426754183,12.660044620469648,13.7041,14.868038654772235,16.16974301140929,17.630415878537672
286,1,93.6,-0.3521,13.7275,0.08037000000000001,H,10.891480960481163,11.740508529519959,12.681538550622308,13.7275,14.89357937328866,16.197696525313386,17.661099107362023
287,1,93.7,-0.3521,13.751,0.08038,H,10.909824315571429,11.760384404183283,12.703124441594513,13.751,14.919229112072875,16.22576921675856,17.691912994839054
288,1,93.8,-0.3521,13.7746,0.0804,H,10.927943805788845,11.78012206511598,12.724678546142263,13.7746,14.945141678886698,16.254305684721505,17.723438590562836
289,1,93.9,-0.3521,13.7981,0.08041,H,10.946284614838323,11.799996053172737,12.746263385521315,13.7981,14.970792737174582,16.282381347664632,17.754257515703454
290,1,94.0,-0.3521,13.8217,0.08043,H,10.964400553334416,11.819731077451511,12.767816017576527,13.8217,14.996707159222918,16.310922002776742,17.785790226400746
291,1,94.1,-0.3521,13.8454,0.08044,H,10.982897467233498,11.839774207377053,12.789584553922635,13.8454,15.022576541678541,16.33923666162178,17.816871558965534
292,1,94.2,-0.3521,13.8691,0.08046,H,11.001089166721515,11.859592099745537,12.81122808243798,13.8691,15.048601328076362,16.367899531482596,17.848540095843557
293,1,94.3,-0.3521,13.8928,0.08047,H,11.019583515641491,11.879633328903887,12.83299555922267,13.8928,15.074472040239979,16.396217185059594,17.879626505920147
294,1,94.4,-0.3521,13.9165,0.08048999999999999,H,11.037771644927592,11.899448570690593,12.85463760734404,13.9165,15.100498692165885,16.4248842657189,17.911302198712132
295,1,94.5,-0.3521,13.9403,0.08051,H,11.05603705080078,11.919347804106776,12.876371178470583,13.9403,15.126634921510117,16.45367178805251,17.943110710108297
296,1,94.6,-0.3521,13.9642,0.08052000000000001,H,11.07468591208894,11.939556994377872,12.89832169364019,13.9642,15.152724785372923,16.4822303025371,17.974462691949665
297,1,94.7,-0.3521,13.9881,0.08054,H,11.093027032355101,11.959539061115123,12.920146141705162,13.9881,15.178971403953412,16.511140096150918,18.006407126250757
298,1,94.8,-0.3521,14.012,0.08056,H,11.111366102387091,11.979519604040583,12.941969737715873,14.012,15.20521909889518,16.54005232247452,18.038355700425495
299,1,94.9,-0.3521,14.036,0.08058,H,11.129782416961218,11.999584114751388,12.963884843381978,14.036,15.231576388171195,16.56908502877435,18.07043715851875
300,1,95.0,-0.3521,14.06,0.0806,H,11.148196672993992,12.019647095413024,12.985799093468621,14.06,15.257934758365778,16.59812017821351,18.1025227744699
301,1,95.1,-0.3521,14.0841,0.08062000000000001,H,11.166688156494327,12.039794031151366,13.00780484609315,14.0841,15.284402731919686,16.62727582807181,18.134741309214267
302,1,95.2,-0.3521,14.1083,0.08064,H,11.185256854542883,12.060024912377296,13.029902095900903,14.1083,15.31098031557966,16.656551993578827,18.167092788638215
