,sex,age,l,m,s,loh,z=-3,z=-2,z=-1,z=0,z=1,z=2,z=3
478,1,478,-0.5019,16.3646,0.07919,L,13.074712682201268,14.05137790190473,15.141869067446343,16.3646,17.74186621551164,19.30087023834841,21.075077451478474
479,1,479,-0.5026,16.3611,0.07919,L,13.072138342708906,14.048483980643047,15.138662121517257,16.3611,17.738112744829802,19.29693138125381,21.071062620779998
480,1,480,-0.5033,16.3576,0.07918,L,13.069914087042534,14.045850173654477,15.13560071429315,16.3576,17.73417455599318,19.292573200178357,21.06632988872796
481,1,481,-0.504,16.3541,0.07917,L,13.06768946793299,14.043216151206105,15.132539216302515,16.3541,17.73023641257617,19.28821505409033,21.06159711937872
482,1,482,-0.5047,16.3507,0.07916000000000001,L,13.065544393680861,14.04066778532535,15.129570159195588,16.3507,17.726406728338752,19.28397488277794,21.056993096220477
483,1,483,-0.5054,16.3472,0.07916000000000001,L,13.062969150567792,14.037773375610541,15.126363034990561,16.3472,17.72265328587766,19.280035936526584,21.052977966061405
484,1,484,-0.5061,16.3438,0.07915,L,13.060823465237666,14.03522465734818,15.1233938352594,16.3438,17.718823659691843,19.27579578484159,21.048373830659724
485,1,485,-0.5068,16.3404,0.07914,L,13.058677423960628,14.032675728387527,15.120424546979372,16.3404,17.714994077210353,19.27155566545214,21.043769655364816
486,1,486,-0.5075,16.3369,0.07914,L,13.05610153594257,14.029780973614224,15.117217299033422,16.3369,17.711240649158,19.26761664505276,21.03975430395999
487,1,487,-0.5082,16.3335,0.07912999999999999,L,13.053954884228789,14.027231692546227,15.114247868192498,16.3335,17.70741112477145,19.26337654540335,21.035150016515434
488,1,488,-0.5089,16.3301,0.07912000000000001,L,13.051807876934989,14.024682200940417,15.111278348840909,16.3301,17.70358164411839,19.259136478135616,21.03054568928412
489,1,489,-0.5096,16.3267,0.07912000000000001,L,13.049311270941653,14.02187298448453,15.108163513758575,16.3267,17.699936641492233,19.255315321209018,21.02665890348939
490,1,490,-0.5103,16.3233,0.07911,L,13.047163657342423,14.01932314331307,15.105193852991142,16.3233,17.696107218098657,19.251075272383986,21.022054462819884
491,1,491,-0.511,16.3199,0.0791,L,13.045015688528691,14.016773091763708,15.102224103751114,16.3199,17.692277838467636,19.246835256026436,21.01744998246945
492,1,492,-0.5117,16.3165,0.07909,L,13.042867364632722,14.014222829895061,15.099254266052677,16.3165,17.68844850261068,19.24259527217239,21.012845462489192
493,1,493,-0.5124,16.3131,0.07909,L,13.040369874284881,14.011413135887013,15.096139257008778,16.3131,17.684803526726178,19.238774026715205,21.008958384805027
494,1,494,-0.5131,16.3098,0.07908,L,13.038300886464901,14.008948417653507,15.093261819041253,16.3098,17.681082655911318,19.23465199456053,21.004482535960516
495,1,495,-0.5138,16.3064,0.07907,L,13.036151605902099,14.006397598698795,15.090291752674595,16.3064,17.67725342029827,19.230412060488085,20.999877861778945
496,1,496,-0.5144,16.3031,0.07907,L,13.033702002987667,14.003657692072764,15.087264693427135,16.3031,17.673711026169975,19.226681764041984,20.996049156178298
497,1,497,-0.5151,16.2997,0.07906,L,13.031552139913702,14.001106535287164,15.084294489174646,16.2997,17.6698818493761,19.222441856119172,20.991444384679443
498,1,498,-0.5158,16.2964,0.07905,L,13.029481875603866,13.998641068701565,15.081416741006965,16.2964,17.666161121712687,19.218319910719835,20.986968356614938
499,1,499,-0.5165,16.293,0.07905,L,13.026983136723885,13.99583070598832,15.078301491880909,16.293,17.66251617387977,19.214498520783494,20.983080846807045
500,1,500,-0.5172,16.2897,0.07904,L,13.02491227654142,13.993364895950561,15.075423604861573,16.2897,17.658795502112984,19.21037659254004,20.978604705877355
501,1,501,-0.5179,16.2864,0.07902999999999999,L,13.022841069323619,13.990898880595038,15.072545631658308,16.2864,17.655074872447347,19.206254694229557,20.97412852285883
502,1,502,-0.5185,16.2831,0.07902999999999999,L,13.02039033514958,13.988158362062075,15.06951834884067,16.2831,17.65153251440364,19.202524288524607,20.97029944912785
503,1,503,-0.5192,16.2798,0.07902,L,13.018318554723335,13.985692014491425,15.066640240195694,16.2798,17.64781194209521,19.19840241474801,20.965823168801485
504,1,504,-0.5199,16.2765,0.07901,L,13.016246427607793,13.983225461754774,15.06376204540302,16.2765,17.644091411915838,19.19428057098742,20.961346846490496
505,1,505,-0.5206,16.2732,0.07901,L,13.013826416565333,13.980500344006076,15.060739106159177,16.2732,17.64055489524892,19.190576966530685,20.957587696146422
506,1,506,-0.5212,16.2699,0.079,L,13.011722435736484,13.978017755979762,15.057856321452055,16.2699,17.636828599781875,19.186428293359626,20.95304117057404
507,1,507,-0.5219,16.2666,0.07899,L,13.009649389643252,13.975550666260832,15.054977905163758,16.2666,17.633108169157243,19.182306504341014,20.948564709177266
508,1,508,-0.5226,16.2634,0.07899,L,13.007308752011246,13.972911140208904,15.052047400985161,16.2634,17.62968006677734,19.17872075385814,20.944934130253195
509,1,509,-0.5233,16.2601,0.07898,L,13.005235118835037,13.970443712347167,15.049168848187593,16.2601,17.625959690413953,19.174598979490998,20.940457553479614
510,1,510,-0.5239,16.2568,0.07897,L,13.003129943648347,13.967960415877078,15.046285764978132,16.2568,17.62223354348902,19.170450417373676,20.93591089376229
511,1,511,-0.5246,16.2536,0.07897,L,13.000788710514547,13.965320571270295,15.043355146774285,16.2536,17.61880545317927,19.166864594562735,20.93228010328648
512,1,512,-0.5253,16.2504,0.07896,L,12.99879415396501,13.962938533003067,15.040568928783314,16.2504,17.615193574122582,19.162860796215167,20.927932170434524
513,1,513,-0.5259,16.2471,0.07895,L,12.996688116361547,13.960454726941423,15.037685632057997,16.2471,17.6114675304353,19.158712304980323,20.923385399985207
514,1,514,-0.5266,16.2439,0.07895,L,12.994346289720633,13.957814564719687,15.034754900077427,16.2439,17.608039452474085,19.155126411033233,20.919754400891232
515,1,515,-0.5273,16.2407,0.07894,L,12.992350831676369,13.955432000141032,15.03196846532062,16.2407,17.604427669841318,19.15112266323861,20.915406326454978
516,1,516,-0.5279,16.2375,0.07893,L,12.99032393448829,13.953033615776928,15.029177513611552,16.2375,17.60081012551696,19.147092162044917,20.91098822756813
517,1,517,-0.5286,16.2343,0.07893,L,12.987981516330079,13.950393136878162,15.02624666810233,16.2343,17.597382060182447,19.143506198153343,20.907357022791054
518,1,518,-0.5292,16.2311,0.07892,L,12.985954089574145,13.94799444225229,15.023455588006382,16.2311,17.593764573998776,19.139475728682058,20.902938839370083
519,1,519,-0.5299,16.2279,0.07891000000000001,L,12.983957414610911,13.945611162673273,15.020668856075417,16.2279,17.590152929740185,19.13547206632199,20.89859059436093
520,1,520,-0.5306,16.2247,0.07891000000000001,L,12.981614405580979,13.942970367360617,15.017737897094209,16.2247,17.58672487706023,19.13188603252283,20.894959183819655
521,1,521,-0.5312,16.2215,0.0789,L,12.979586129974212,13.940571171357883,15.014946607084372,16.2215,17.583107491820208,19.12785563099485,20.890540888188628
522,1,522,-0.5319,16.2184,0.07889,L,12.977668577278452,13.938273309755761,15.012252222773789,16.2184,17.579604336227547,19.1239699334916,20.88632128233729
523,1,523,-0.5325,16.2152,0.07889,L,12.975293984075664,13.935616627711536,15.009316729744075,16.2152,17.576170505559467,19.120357088166156,20.882619746625682
524,1,524,-0.5332,16.2121,0.07887999999999999,L,12.973375881802703,13.933318448053162,15.006622216114957,16.2121,17.57266740362734,19.116471410833054,20.878400042338264
525,1,525,-0.5338,16.2089,0.07887000000000001,L,12.97134646290676,13.930918572534445,15.003830639046978,16.2089,17.56905016270036,19.112441119711015,20.873981622711593
526,1,526,-0.5345,16.2058,0.07887000000000001,L,12.969082315875166,13.928363098379407,15.00099202042424,16.2058,17.565730528227487,19.108972863672474,20.870478585134755
527,1,527,-0.5351,16.2027,0.07886,L,12.967132402906485,13.926048864364494,14.998292882804929,16.2027,17.562221735349986,19.105060515830125,20.866188861649842
528,1,528,-0.5358,16.1996,0.07885,L,12.965213109048598,13.923749985284863,14.995598078980672,16.1996,17.55871876695703,19.10117491702711,20.861968981442434
529,1,529,-0.5364,16.1964,0.07885,L,12.962837447252232,13.921092722484245,14.992662372229612,16.1964,17.555284973873672,19.0975619743152,20.8582671024456
530,1,530,-0.5371,16.1933,0.07884,L,12.960917604901056,13.91879352581548,14.989967439195723,16.1933,17.551782059217988,19.09367639588795,20.854047123991574
531,1,531,-0.5377,16.1902,0.07883,L,12.958966565435158,13.916478622644608,14.987268019170278,16.1902,17.548273407446366,19.089764153956263,20.849757273289228
532,1,532,-0.5383,16.1872,0.07883,L,12.95675046198592,13.913992985719332,14.98451734652314,16.1872,17.545056410485465,19.08638698404933,20.846312786689907
533,1,533,-0.539,16.1841,0.07882,L,12.95482976675517,13.911693289814629,14.981822207170216,16.1841,17.54155358890955,19.08250145668063,20.84209267667912
534,1,534,-0.5396,16.180999999999997,0.07881,L,12.952877920238734,13.909377908656916,14.979122586272425,16.180999999999997,17.538045035426368,19.078589284320525,20.837802726009787
535,1,535,-0.5403,16.1779,0.07881,L,12.950612067432763,13.906821519596283,14.976283638873422,16.1779,17.53472543814994,19.075120825014167,20.83429908525666
536,1,536,-0.5409,16.1749,0.0788,L,12.948739760054703,13.904591800645262,14.973676466776832,16.1749,17.531325326520935,19.07132658832987,20.830137828861044
537,1,537,-0.5415,16.1718,0.0788,L,12.946442783130797,13.902019760135452,14.970833062352428,16.1718,17.52799996251056,19.067831417006353,20.826564278397594
538,1,538,-0.5422,16.1688,0.07879,L,12.944600751337457,13.899805217451304,14.968230163548315,16.1688,17.524605672350546,19.064063866573818,20.82247271941373
539,1,539,-0.5428,16.1658,0.07877999999999999,L,12.942727649291088,13.89757502819889,14.965622794051278,16.1658,17.5212056566027,19.060269696131652,20.81831136087764
540,1,540,-0.5434,16.1627,0.07877999999999999,L,12.940430157043192,13.89500270732364,14.962779286312632,16.1627,17.517880310920464,19.056774477925188,20.81473764439115
