m_boys_wt,s_boys_wt,m_girls_wt,s_girls_wt,m_boys_lh,s_boys_lh,m_girls_lh,s_girls_lh,m_boys_hc,s_boys_hc,m_girls_hc,s_girls_hc
1.868947387,0.128733724,1.777783513,0.128733724,4.130276203,0.033791572,4.098780155,0.033791572,40.84094238,1.067853212,40.04515457,1.067853212
1.872602582,0.128708899,1.781438589,0.128708899,4.131584167,0.033801135,4.10008812,0.033801135,40.88107681,1.069669604,40.08528519,1.069669604
1.87622869,0.128684878,1.785064697,0.128684878,4.132884979,0.033811018,4.101388931,0.033811018,40.92100143,1.071493864,40.12520981,1.071493864
1.879826069,0.128661647,1.788662076,0.128661647,4.134178638,0.033821214,4.10268259,0.033821214,40.96072006,1.073325753,40.16492844,1.073325753
1.883395076,0.128639206,1.792231202,0.128639206,4.135465145,0.033831723,4.103969097,0.033831723,41.00023651,1.075165153,40.20444489,1.075165153
1.886935949,0.12861754,1.795771956,0.12861754,4.136744976,0.033842534,4.105248928,0.033842534,41.03954697,1.077011704,40.24375534,1.077011704
1.890448928,0.128596619,1.799284935,0.128596619,4.138017178,0.033853646,4.10652113,0.033853646,41.07865906,1.078865409,40.28286743,1.078865409
1.893934369,0.128576458,1.802770376,0.128576458,4.13928318,0.033865046,4.107787132,0.033865046,41.11756897,1.080726027,40.32177734,1.080726027
1.897392511,0.128557011,1.806228638,0.128557011,4.14054203,0.033876732,4.109045982,0.033876732,41.15628433,1.082593322,40.36049271,1.082593322
1.900823593,0.128538296,1.809659719,0.128538296,4.141794205,0.033888698,4.110298157,0.033888698,41.19479752,1.084467173,40.3990097,1.084467173
1.904228091,0.128520295,1.813064218,0.128520295,4.143039703,0.033900935,4.111543655,0.033900935,41.23311996,1.086347342,40.43733215,1.086347342
1.907606125,0.12850298,1.816442251,0.12850298,4.144278526,0.033913445,4.112782478,0.033913445,41.27125168,1.088233829,40.47546005,1.088233829
1.910957932,0.12848635,1.819794059,0.12848635,4.14551115,0.033926215,4.114014626,0.033926215,41.30918503,1.090126276,40.51339722,1.090126276
1.914283872,0.128470406,1.823119998,0.128470406,4.146736622,0.033939246,4.115240574,0.033939246,41.34693146,1.092024565,40.55114365,1.092024565
1.917584062,0.128455132,1.826420188,0.128455132,4.147956371,0.033952527,4.116460323,0.033952527,41.38448715,1.093928695,40.58869934,1.093928695
1.920858979,0.128440499,1.829694986,0.128440499,4.149169445,0.033966057,4.117673397,0.033966057,41.42185593,1.095838308,40.62606812,1.095838308
1.924108624,0.128426507,1.832944751,0.128426507,4.15037632,0.033979829,4.118880272,0.033979829,41.45903778,1.097753286,40.66324997,1.097753286
1.927333355,0.128413156,1.836169481,0.128413156,4.151576996,0.03399384,4.120080948,0.03399384,41.49603653,1.09967351,40.7002449,1.09967351
1.930533648,0.12840043,1.839369655,0.12840043,4.152771473,0.034008082,4.121275425,0.034008082,41.53285217,1.101598978,40.73706055,1.101598978
1.933709383,0.128388315,1.84254539,0.128388315,4.153959751,0.034022551,4.122463703,0.034022551,41.5694809,1.103529334,40.77369308,1.103529334
1.936860919,0.128376797,1.845697045,0.128376797,4.15514183,0.034037244,4.123645782,0.034037244,41.60593414,1.105464458,40.81014252,1.105464458
1.939988494,0.128365889,1.84882462,0.128365889,4.156318188,0.034052156,4.12482214,0.034052156,41.64220428,1.107404232,40.84641266,1.107404232
1.943092465,0.128355548,1.851928592,0.128355548,4.157488823,0.034067281,4.125992775,0.034067281,41.67829514,1.109348655,40.88250732,1.109348655
1.946172953,0.128345788,1.855009079,0.128345788,4.158653259,0.034082614,4.127157211,0.034082614,41.71421051,1.111297369,40.9184227,1.111297369
1.949230194,0.128336594,1.85806632,0.128336594,4.159811974,0.034098156,4.128315926,0.034098156,41.74995041,1.113250494,40.9541626,1.113250494
1.952264547,0.128327951,1.861100674,0.128327951,4.160964966,0.034113895,4.129468918,0.034113895,41.78551865,1.115207672,40.98972702,1.115207672
1.955276012,0.128319845,1.864112139,0.128319845,4.162112236,0.034129832,4.130616188,0.034129832,41.82091141,1.117168784,41.02511978,1.117168784
1.958264947,0.12831229,1.867101073,0.12831229,4.163254261,0.034145962,4.131758213,0.034145962,41.85613251,1.11913383,41.06034088,1.11913383
1.961231589,0.128305271,1.870067716,0.128305271,4.164390087,0.034162279,4.132894039,0.034162279,41.89118195,1.121102691,41.09539032,1.121102691
1.964176059,0.128298759,1.873012185,0.128298759,4.165520668,0.034178782,4.13402462,0.034178782,41.92606354,1.123075128,41.13027191,1.123075128
1.967098594,0.128292769,1.87593472,0.128292769,4.166646004,0.034195464,4.135149956,0.034195464,41.96077728,1.125051022,41.16498566,1.125051022
1.969999433,0.128287286,1.878835559,0.128287286,4.167765617,0.034212321,4.136269569,0.034212321,41.99532318,1.127030373,41.19953156,1.127030373
1.972878933,0.128282294,1.881715059,0.128282294,4.168879986,0.034229353,4.137383938,0.034229353,42.02970505,1.129012942,41.23391342,1.129012942
1.975737095,0.128277779,1.884573221,0.128277779,4.169989109,0.034246553,4.138493061,0.034246553,42.06391907,1.130998731,41.26812744,1.130998731
1.978574157,0.128273755,1.887410164,0.128273755,4.17109251,0.034263916,4.139596462,0.034263916,42.09797287,1.132987499,41.30218124,1.132987499
1.981390238,0.128270209,1.890226364,0.128270209,4.172191143,0.034281444,4.140695095,0.034281444,42.13186264,1.134979248,41.33607101,1.134979248
1.984185696,0.128267124,1.893021822,0.128267124,4.173284531,0.034299128,4.141788483,0.034299128,42.16559219,1.136973739,41.36980057,1.136973739
1.986960769,0.128264487,1.895796895,0.128264487,4.174372673,0.034316968,4.142876625,0.034316968,42.19916153,1.138970971,41.4033699,1.138970971
1.989715457,0.128262311,1.898551583,0.128262311,4.175456047,0.034334958,4.143959999,0.034334958,42.23257065,1.140970826,41.43678284,1.140970826
1.992450237,0.128260568,1.901286244,0.128260568,4.176534176,0.034353096,4.145038128,0.034353096,42.26582718,1.142973304,41.47003555,1.142973304
1.995164871,0.128259271,1.904000998,0.128259271,4.177607059,0.034371376,4.146111012,0.034371376,42.29892349,1.144978046,41.50313187,1.144978046
1.997859955,0.128258392,1.906695962,0.128258392,4.178675175,0.034389798,4.147179127,0.034389798,42.3318634,1.146985173,41.53607178,1.146985173
2.000535488,0.128257945,1.909371495,0.128257945,4.179738522,0.034408361,4.148242474,0.034408361,42.36465073,1.148994446,41.5688591,1.148994446
2.003191471,0.1282579,1.912027597,0.1282579,4.1807971,0.034427054,4.149301052,0.034427054,42.39728546,1.151005864,41.60149384,1.151005864
2.005828381,0.128258273,1.914664626,0.128258273,4.18185091,0.034445882,4.150354862,0.034445882,42.42976761,1.153019309,41.63397598,1.153019309
2.008446455,0.128259048,1.917282581,0.128259048,4.182899952,0.034464836,4.151403904,0.034464836,42.46209717,1.155034661,41.66630554,1.155034661
2.011045694,0.12826021,1.919881821,0.12826021,4.183944225,0.034483917,4.152448177,0.034483917,42.49427795,1.157051802,41.69848633,1.157051802
2.013626337,0.128261775,1.922462344,0.128261775,4.18498373,0.034503121,4.153487682,0.034503121,42.52630997,1.15907073,41.73051834,1.15907073
2.016188383,0.128263712,1.92502439,0.128263712,4.186018944,0.034522444,4.154522419,0.034522444,42.55819321,1.161091328,41.76240158,1.161091328
2.018732071,0.128266022,1.927568197,0.128266022,4.187048912,0.034541883,4.155552864,0.034541883,42.58993149,1.163113475,41.79413986,1.163113475
2.021257639,0.128268704,1.930093765,0.128268704,4.188075066,0.034561437,4.156579018,0.034561437,42.621521,1.165137053,41.82572937,1.165137053
2.023765326,0.128271744,1.932601452,0.128271744,4.189096451,0.034581102,4.157600403,0.034581102,42.65296555,1.167162061,41.85717773,1.167162061
2.026255369,0.128275156,1.935091376,0.128275156,4.190113544,0.034600876,4.15861702,0.034600876,42.68426895,1.16918838,41.88847733,1.16918838
2.028727531,0.128278911,1.937563777,0.128278911,4.19112587,0.034620754,4.159629822,0.034620754,42.7154274,1.171215892,41.91963959,1.171215892
2.031182528,0.128283009,1.940018535,0.128283009,4.192133904,0.034640737,4.160637856,0.034640737,42.7464447,1.173244596,41.95065308,1.173244596
2.033619881,0.128287449,1.942456007,0.128287449,4.193137646,0.034660824,4.161641598,0.034660824,42.77732086,1.175274372,41.98152924,1.175274372
2.036040306,0.128292218,1.944876313,0.128292218,4.194137573,0.034681004,4.162641048,0.034681004,42.80805588,1.177305222,42.01226807,1.177305222
2.038443565,0.128297329,1.947279692,0.128297329,4.195132732,0.03470128,4.163636684,0.03470128,42.83865356,1.179336786,42.04286194,1.179336786
2.040830135,0.128302753,1.949666142,0.128302753,4.1961236,0.034721654,4.164627552,0.034721654,42.86911392,1.181369424,42.0733223,1.181369424
2.043199778,0.128308505,1.952036023,0.128308505,4.197110653,0.034742113,4.165614605,0.034742113,42.89943314,1.183402658,42.10364532,1.183402658
2.045553207,0.12831457,1.954389334,0.12831457,4.198093414,0.034762666,4.166597366,0.034762666,42.92961884,1.185436726,42.13383102,1.185436726
2.047890186,0.128320932,1.956726193,0.128320932,4.199071884,0.034783304,4.167575836,0.034783304,42.95967102,1.18747139,42.16387939,1.18747139
2.050210714,0.128327608,1.959046841,0.128327608,4.200046539,0.034804024,4.168550491,0.034804024,42.98958588,1.189506531,42.19379425,1.189506531
2.052515268,0.128334582,1.961351395,0.128334582,4.201016903,0.034824826,4.169520855,0.034824826,43.01936722,1.191542149,42.22357941,1.191542149
2.054803848,0.128341839,1.963639975,0.128341839,4.201983929,0.03484571,4.170487404,0.03484571,43.04901886,1.193578362,42.25322723,1.193578362
2.057076693,0.128349394,1.9659127,0.128349394,4.202946186,0.034866668,4.171450138,0.034866668,43.07853317,1.195614696,42.28274536,1.195614696
2.059333801,0.128357232,1.968169928,0.128357232,4.203905106,0.034887701,4.172409058,0.034887701,43.1079216,1.197651505,42.31213379,1.197651505
2.061575174,0.128365338,1.97041142,0.128365338,4.204859734,0.034908809,4.173363686,0.034908809,43.13717651,1.199688435,42.3413887,1.199688435
2.063801527,0.128373727,1.972637653,0.128373727,4.205810547,0.034929991,4.174314499,0.034929991,43.16630554,1.201725721,42.37051773,1.201725721
2.066012383,0.128382385,1.974848509,0.128382385,4.206758022,0.03495124,4.175261974,0.03495124,43.19530487,1.203762889,42.39951324,1.203762889
