,sex,age,l,m,s,z=-3,z=-2,z=-1,z=0,z=1,z=2,z=3
46,1,107,-0.6278,27.875,0.15149,18.68860000632051,21.123033415051854,24.119424883155048,27.875,32.684991801998514,39.009095878576524,47.598316436888
47,1,108,-0.6337,28.1092,0.15233,18.816966698129868,21.275073206211328,24.30489817658012,28.1092,32.99280592083942,39.43290133516874,48.21438103008826
48,1,109,-0.6393,28.3459,0.15319000000000002,18.945445277890713,21.427764212769716,24.491773677937495,28.3459,33.30483160774316,39.863815621837325,48.84297903774524
49,1,110,-0.6446,28.5854,0.15406,19.074646813305502,21.58166815780529,24.680519114282315,28.5854,33.621076628695164,40.3013384309866,49.482718131213566
50,1,111,-0.6496,28.8277,0.15492999999999998,19.204986844172023,21.737125889824668,24.87134812341908,28.8277,33.94118079168251,40.7444919380246,50.13153273735936
51,1,112,-0.6543,29.0731,0.15581,19.336198010374478,21.893983527317086,25.064283766602767,29.0731,34.26588394693745,41.19473367803324,50.79210402389082
52,1,113,-0.6585,29.3217,0.1567,19.468018293308642,22.05212512516409,25.25934448125771,29.3217,34.59522407336567,41.651693709303736,51.462841716310045
53,1,114,-0.6624,29.5736,0.1576,19.60077382474178,22.211765033225472,25.456655000666924,29.5736,34.92943142254002,42.11608288938609,52.14573436594499
54,1,115,-0.6659,29.8289,0.1585,19.734794418692946,22.37323605851575,25.656490905010198,29.8289,35.26819725931876,42.58671356720999,52.83772649723998
55,1,116,-0.6689,30.0877,0.1594,19.869955485467315,22.536500881921356,25.858897898458203,30.0877,35.61158988316368,43.06340119365662,53.537827921467645
56,1,117,-0.6714,30.3501,0.16030999999999998,20.005826552345233,22.701231597034013,26.063713043284423,30.3501,35.960129566639466,43.547346103253986,54.24836279588088
57,1,118,-0.6735,30.616,0.16122,20.14290789512627,22.867783879313333,26.271098263872833,30.616,36.31335706447154,44.037585255139525,54.96763725032718
58,1,119,-0.6752,30.8854,0.16213,20.281161356266015,23.036131450902467,26.481041045741325,30.8854,36.67127381886063,44.53408211126886,55.69545543266946
59,1,120,-0.6764,31.1586,0.16305,20.420117947840936,23.205996232086882,26.693514410574863,31.1586,37.03459612659507,45.038053417498034,56.433537370476586
60,1,121,-0.6764,31.1586,0.16305,20.420117947840936,23.205996232086882,26.693514410574863,31.1586,37.03459612659507,45.038053417498034,56.433537370476586
61,2,61,-0.4681,18.2579,0.14295,12.351528250159568,13.961126433615135,15.898542081718038,18.2579,21.169368985924546,24.816969408068474,29.467500389451033
62,2,62,-0.4711,18.4329,0.1435,12.455501499593701,14.082746315539897,16.04311084985354,18.4329,21.385603035122923,25.090441053502378,29.822622978526397
63,2,63,-0.4742,18.6073,0.14404,12.559261054530811,14.204012502233153,16.187188473266435,18.6073,21.601210524231718,25.363450839702555,30.17786178260325
