,sex,age,l,m,s,z=-3,z=-2,z=-1,z=0,z=1,z=2,z=3
52,1,113,-1.6851,16.2009,0.10259000000000001,12.643288538278034,13.583359050704228,14.738142829272626,16.2009,18.132398469559842,20.83929812781237,25.001385854258103
53,1,114,-1.6944,16.2333,0.10303,12.660754777750899,13.603426284962453,14.762667698864513,16.2333,18.179488869257383,20.916344206796495,25.149361026425336
54,1,115,-1.7032,16.2665,0.10347,12.678695795567927,13.624073499790569,14.787881829594149,16.2665,18.227495453689396,20.99448667565063,25.299141585716157
55,1,116,-1.7116,16.3004,0.10390999999999999,12.69706433887426,13.645233647654644,14.813699319128462,16.3004,18.276318471015493,21.07366734074658,25.450849535022122
56,1,117,-1.7196,16.3351,0.10435,12.715935015142964,13.666988011174647,14.84020981290569,16.3351,18.32606997743046,21.154009264562998,25.60460994807767
57,1,118,-1.7271,16.3704,0.10478,12.735361486108308,13.689348014041036,14.867349729824719,16.3704,18.37628798581991,21.2344972322642,25.758034633778614
58,1,119,-1.7341,16.4065,0.10522000000000001,12.75499984377571,13.712075920611175,14.895047637905517,16.4065,18.427643890669966,21.31670404660654,25.914725071414622
59,1,120,-1.7407,16.4433,0.10565999999999999,12.77505151041892,13.735306388520998,14.923343744116234,16.4433,18.47981487207113,21.399914960899448,26.073158390608786
60,1,121,-1.7468,16.4807,0.10609,12.795646489041216,13.759133933142527,14.952265515105935,16.4807,18.532447019635523,21.48322004800806,26.23097820786089
61,1,122,-1.7525,16.5189,0.10652,12.816724459275825,13.783542081456089,14.981873810177694,16.5189,18.586003542157517,21.56762798966125,26.390528371128408
62,1,123,-1.7578,16.5578,0.10695,12.838204158339336,13.808444742129968,15.012076617003872,16.5578,18.64037166440206,21.65299955595824,26.55159582647554
63,1,124,-1.7626,16.5974,0.10737999999999999,12.8600457215739,13.833818642033098,15.042865794917388,16.5974,18.695536733581605,21.739231885064346,26.713714129752358
64,1,125,-1.767,16.6376,0.1078,12.88244969055671,13.859798927401933,15.07428283149877,16.6376,18.75116778907389,21.825568848295184,26.87516631062872
65,1,126,-1.771,16.6786,0.10822999999999999,12.905075188551809,13.8861481510034,15.1062545618446,16.6786,18.807951894714503,21.913667032222442,27.03994464790965
66,1,127,-1.7745,16.7203,0.10865,12.92829571080115,13.913160615569208,15.138935392239537,16.7203,18.865296761516223,22.001870687483464,27.203589513248883
