,sex,age,l,m,s,loh,z=-3,z=-2,z=-1,z=0,z=1,z=2,z=3
19,1,19,1,53.0967,0.03621,L,47.328805478999996,49.251436985999995,51.174068493,53.0967,55.019331507000004,56.941963013999995,58.864594521
20,1,20,1,53.2441,0.03615,L,47.469777355,49.394551570000004,51.319325785000004,53.2441,55.168874214999995,57.09364843,59.018422645
21,1,21,1,53.3905,0.03609,L,47.60991056500001,49.53677371,51.463636855000004,53.3905,55.317363145,57.24422629,59.171089435000006
22,1,22,1,53.536,0.03603,L,47.74929376,49.67819584,51.60709792,53.536,55.46490208,57.39380416,59.32270624
23,1,23,1,53.6805,0.03597,L,47.88783724500001,49.81872483,51.749612415,53.6805,55.611387585,57.54227517000001,59.473162755
24,1,24,1,53.8239,0.03592,L,48.023836536000005,49.957191024000004,51.890545512,53.8239,55.757254488,57.690608976,59.623963464000006
25,1,25,1,53.9664,0.03586,L,48.160694688,50.095929792,52.031164896,53.9664,55.901635104,57.836870208,59.772105312
26,1,26,1,54.1079,0.03581,L,48.295088303,50.232692202,52.170296101,54.1079,56.045503898999996,57.983107798,59.920711696999994
27,1,27,1,54.2485,0.03575,L,48.430348375,50.36973225,52.309116125,54.2485,56.187883875,58.127267749999994,60.066651625000006
28,1,28,1,54.3881,0.0357,L,48.56313449,50.50478966,52.446444830000004,54.3881,56.329755170000006,58.271410339999996,60.21306551
29,1,29,1,54.5268,0.03565,L,48.695158740000004,50.63903916,52.58291958,54.5268,56.47068042,58.41456084,60.358441260000006
30,1,30,1,54.6645,0.03559,L,48.827971334999994,50.773480889999995,52.718990444999996,54.6645,56.610009555,58.55551911,60.501028665
31,1,31,1,54.8012,0.035539999999999995,L,48.958296056,50.905930704,52.853565352000004,54.8012,56.748834648,58.696469296000004,60.644103944
32,1,32,1,54.9368,0.03549,L,49.08767890399999,51.03738593599999,52.987092968,54.9368,56.886507032,58.836214064,60.785921096
33,1,33,1,55.0714,0.03544,L,49.216208752,51.167939168,53.11966958399999,55.0714,57.023130415999994,58.974860832,60.926591247999994
34,1,34,1,55.2049,0.03539,L,49.343795767,51.29749717800001,53.251198589,55.2049,57.15860141100001,59.112302822000004,61.06600423300001
35,1,35,1,55.3374,0.035339999999999996,L,49.470528852,51.426152568000006,53.381776284,55.3374,57.293023716,59.248647432000006,61.204271148000004
36,1,36,1,55.4688,0.035289999999999995,L,49.596318144,51.553812096,53.511306048,55.4688,57.426293952,59.38378790400001,61.341281855999995
37,1,37,1,55.5992,0.03524,L,49.721252576,51.680568384000004,53.639884192000004,55.5992,57.558515808,59.51783161600001,61.47714742400001
38,1,38,1,55.7285,0.0352,L,49.8435704,51.805213599999995,53.7668568,55.7285,57.690143199999994,59.6517864,61.61342959999999
39,1,39,1,55.8568,0.03515,L,49.96670044,51.93006696,53.89343348,55.8568,57.82016652,59.78353304,61.74689956
40,1,40,1,55.9841,0.0351,L,50.08897427,52.05401618,54.019058089999994,55.9841,57.949141909999994,59.91418382,61.879225729999995
41,1,41,1,56.1104,0.03506,L,50.208708128,52.175938752,54.143169376,56.1104,58.077630624,60.044861248,62.012091872
42,1,42,1,56.2357,0.03501,L,50.329264429000006,52.298076286000004,54.266888143,56.2357,58.204511857,60.173323714,62.142135571
43,1,43,1,56.3599,0.034960000000000005,L,50.448873688000006,52.419215792,54.38955789600001,56.3599,58.33024210400001,60.300584208000004,62.27092631200001
44,1,44,1,56.4833,0.03492,L,50.566109492,52.538506328,54.510903164000005,56.4833,58.455696836,60.428093671999996,62.400490508
45,1,45,1,56.6056,0.03488,L,50.682390016,52.656793344,54.631196672,56.6056,58.580003328000004,60.554406656000005,62.528809984000006
46,1,46,1,56.7269,0.03483,L,50.799506219,52.775304145999996,54.751102073,56.7269,58.702697926999996,60.678495854000005,62.654293781
47,1,47,1,56.8472,0.034789999999999995,L,50.914057736000004,52.891771824,54.869485912,56.8472,58.82491408800001,60.802628176,62.780342264000005
48,1,48,1,56.9666,0.03475,L,51.02783195,53.0074213,54.987010649999995,56.9666,58.946189350000004,60.92577870000001,62.90536805
49,1,49,1,57.0851,0.0347,L,51.14254109,53.123394059999995,55.10424703,57.0851,59.06595296999999,61.04680593999999,63.02765891
50,1,50,1,57.2026,0.03466,L,51.254673652,53.237315767999995,55.219957883999996,57.2026,59.18524211599999,61.167884232,63.15052634799999
51,1,51,1,57.3192,0.03462,L,51.366027888000005,53.350418592000004,55.334809296,57.3192,59.30359070400001,61.287981408,63.272372112000006
52,1,52,1,57.4349,0.03458,L,51.476603474,53.462702316,55.448801157999995,57.4349,59.420998842,61.40709768400001,63.393196526
53,1,53,1,57.5497,0.034539999999999994,L,51.586400086,53.574166724,55.561933362,57.5497,59.537466638000005,61.525233276,63.512999914000005
54,1,54,1,57.6637,0.0345,L,51.695507049999996,53.684904700000004,55.67430235,57.6637,59.65309765,61.64249529999999,63.631892949999994
55,1,55,1,57.7767,0.034460000000000005,L,51.803744754,53.794729836,55.785714918,57.7767,59.76768508199999,61.758670164,63.749655245999996
56,1,56,1,57.8889,0.03442,L,51.911292186,53.903828124,55.896364061999996,57.8889,59.881435937999996,61.873971876,63.866507813999995
57,1,57,1,58.0003,0.03438,L,52.018149058,54.012199372,56.006249686000004,58.0003,59.99435031400001,61.988400628,63.98245094200001
58,1,58,1,58.1109,0.034339999999999996,L,52.124315082,54.119843388,56.115371694,58.1109,60.106428306000005,62.101956612,64.09748491799999
59,1,59,1,58.2207,0.03431,L,52.228043349000004,54.225595566,56.223147783,58.2207,60.21825221700001,62.21580443399999,64.213356651
60,1,60,1,58.3299,0.03427,L,52.333002981,54.331968654,56.330934327,58.3299,60.328865673,62.327831346,64.32679701900001
