,sex,length,l,m,s,lorh,z=-3,z=-2,z=-1,z=0,z=1,z=2,z=3
321,1,77.1,-0.3521,9.9152,0.08315,L,7.806617234641763,8.435556024700368,9.134997185123668,9.9152,10.78828065901231,11.768618429099062,12.873367005641963
322,1,77.2,-0.3521,9.9341,0.08315,L,7.8214979295077,8.451635580217841,9.15240999039223,9.9341,10.808844894171997,11.791051349091596,12.89790575790179
323,1,77.3,-0.3521,9.9528,0.08316,L,7.836005054958195,8.46738500054595,9.169549445614757,9.952800000000003,10.829303077166486,11.813497846980727,12.922609843551474
324,1,77.4,-0.3521,9.9716,0.08316,L,7.850806607790885,8.483379176859172,9.186869951359627,9.9716,10.84975871757428,11.835812548323386,12.947019563937568
325,1,77.5,-0.3521,9.9902,0.08317000000000001,L,7.865233791585282,8.49904262413295,9.203916775255776,9.9902,10.870108724343385,11.85814177280939,12.971596225192418
326,1,77.6,-0.3521,10.0088,0.08317000000000001,L,7.8798774772495825,8.51486635066584,9.22105285381474,10.0088,10.89034696004165,11.88021955273114,12.995747061991338
327,1,77.7,-0.3521,10.0274,0.08317000000000001,L,7.894521162913882,8.53069007719873,9.238188932373703,10.0274,10.910585195739912,11.902297332652887,13.019897898790258
328,1,77.8,-0.3521,10.0459,0.08317999999999999,L,7.908868012157863,8.546267260532257,9.255142962945552,10.045900000000001,10.93082722918295,11.924509740227892,13.044347908801056
329,1,77.9,-0.3521,10.0643,0.08317999999999999,L,7.923353839353404,8.561920543721795,9.272094617901125,10.0643,10.950848055690972,11.946350588655626,13.068239844966248
330,1,78.0,-0.3521,10.0827,0.08317999999999999,L,7.937839666548949,8.577573826911335,9.2890462728567,10.0827,10.970868882199,11.968191437083364,13.092131781131446
331,1,78.1,-0.3521,10.1011,0.08317999999999999,L,7.952325493744491,8.593227110100875,9.305997927812273,10.1011,10.990889708707023,11.990032285511099,13.116023717296642
332,1,78.2,-0.3521,10.1194,0.08317999999999999,L,7.966732593618319,8.608795321099167,9.322857454208306,10.1194,11.01080172637533,12.011754433675641,13.139785805982678
333,1,78.3,-0.3521,10.1377,0.08317999999999999,L,7.981139693492149,8.62436353209746,9.33971698060434,10.137700000000002,11.03071374404364,12.033476581840185,13.163547894668717
334,1,78.4,-0.3521,10.1559,0.08317999999999999,L,7.9954680660442605,8.639846670904504,9.356484378440829,10.1559,11.050516952872227,12.05508002974153,13.187180135875595
335,1,78.5,-0.3521,10.1741,0.08317999999999999,L,8.009796438596373,8.655329809711546,9.37325177627732,10.1741,11.070320161700817,12.076683477642877,13.21081237708247
336,1,78.6,-0.3521,10.1923,0.08317000000000001,L,8.024346096572108,8.670976771030638,9.390110403038921,10.1923,11.090009124054083,12.098029908410757,13.234009349765637
337,1,78.7,-0.3521,10.2105,0.08317000000000001,L,8.038674864265133,8.686460202369272,9.406877963779413,10.2105,11.109812128877113,12.119632897366447,13.257640813730173
338,1,78.8,-0.3521,10.2286,0.08317000000000001,L,8.052924902465339,8.701858559909343,9.423553395065287,10.228600000000002,11.12950632598134,12.141117188580624,13.281142434486114
339,1,78.9,-0.3521,10.2468,0.08316,L,8.06747614712901,8.717506693954887,9.44041267375264,10.2468,11.149194475033108,12.162461793509573,13.304336321929828
